time,open,high,low,close,tick_volume,spread,real_volume
2025-12-27 16:00:00,87506.82,87530.47,87383.84,87451.24,1256,1800,0
2025-12-27 17:00:00,87452.6,87511.44,87405.97,87494.69,1067,1800,0
2025-12-27 18:00:00,87495.13,87523.4,87401.64,87435.31,961,1800,0
2025-12-27 19:00:00,87436.73,87525.95,87426.15,87510.21,957,1800,0
2025-12-27 20:00:00,87510.31,87579.6,87469.28,87503.86,962,1800,0
2025-12-27 21:00:00,87504.13,87614.76,87493.59,87597.15,954,1800,0
2025-12-27 22:00:00,87599.3,87899.73,87429.93,87500.13,2171,1800,0
2025-12-27 23:00:00,87500.7,87935.89,87486.32,87823.21,1716,1800,0
2025-12-28 00:00:00,87798.88,87890.91,87642.22,87782.1,1643,1800,0
2025-12-28 01:00:00,87782.5,87878.72,87670.62,87723.11,1443,1800,0
2025-12-28 02:00:00,87717.3,87805.08,87682.93,87731.54,921,1800,0
2025-12-28 03:00:00,87726.02,87775.29,87655.59,87658.85,940,1800,0
2025-12-28 04:00:00,87655.58,87766.93,87616.35,87658.58,1106,1800,0
2025-12-28 05:00:00,87660.29,87660.29,87535.09,87592.41,1258,1800,0
2025-12-28 06:00:00,87588.52,87723.11,87567.35,87657.29,1062,1800,0
2025-12-28 07:00:00,87654.75,87662.76,87588.6,87655.97,1018,1800,0
2025-12-28 08:00:00,87666.07,87912.57,87659.32,87736.3,1372,1800,0
2025-12-28 09:00:00,87740.69,87829.31,87646.08,87731.0,1152,1800,0
2025-12-28 10:00:00,87725.29,87944.11,87720.81,87789.66,1526,1800,0
2025-12-28 11:00:00,87789.93,87862.64,87740.4,87807.8,1298,1800,0
2025-12-28 12:00:00,87807.96,87823.92,87714.53,87781.48,1110,1800,0
2025-12-28 13:00:00,87783.45,87880.24,87722.22,87821.52,1331,1800,0
2025-12-28 14:00:00,87826.92,88034.6,87822.91,87851.13,1538,1800,0
2025-12-28 15:00:00,87851.25,87939.54,87749.99,87773.28,1314,1800,0
2025-12-28 16:00:00,87774.25,87833.22,87665.53,87744.98,1404,1800,0
2025-12-28 17:00:00,87746.51,87859.9,87680.84,87680.84,1093,1800,0
2025-12-28 18:00:00,87703.43,87703.43,87414.41,87527.95,2005,1800,0
2025-12-28 19:00:00,87528.03,87620.27,87424.84,87446.57,1356,1800,0
2025-12-28 20:00:00,87447.17,87584.27,87367.58,87439.52,1199,1800,0
2025-12-28 21:00:00,87441.6,87525.79,87352.49,87524.51,1164,1800,0
2025-12-28 22:00:00,87528.15,87923.3,87402.9,87831.78,1648,1800,0
2025-12-28 23:00:00,87827.58,87985.62,87566.26,87876.01,2300,1800,0
2025-12-29 00:00:00,87870.04,88374.62,87726.26,88209.98,3913,1800,0
2025-12-29 01:00:00,88204.72,88407.56,87789.1,88359.79,3426,1800,0
2025-12-29 02:00:00,88359.33,89287.88,88359.33,89069.44,6017,1800,0
2025-12-29 03:00:00,89080.12,90076.08,88991.07,90021.88,4524,1800,0
2025-12-29 04:00:00,90009.68,90321.29,89835.32,90049.42,3258,1800,0
2025-12-29 05:00:00,90050.07,90203.44,89820.55,89883.81,2249,1800,0
2025-12-29 06:00:00,89883.28,90031.18,89648.41,89677.3,2013,1800,0
2025-12-29 07:00:00,89677.55,89759.55,89389.45,89510.43,2585,1800,0
2025-12-29 08:00:00,89510.57,89722.22,89346.54,89452.54,2388,1800,0
2025-12-29 09:00:00,89452.79,89512.3,87662.22,88008.11,5762,1800,0
2025-12-29 10:00:00,88000.46,88168.88,87534.15,87683.77,3207,1800,0
2025-12-29 11:00:00,87682.47,87689.24,87441.33,87448.05,2394,1800,0
2025-12-29 12:00:00,87458.76,87529.41,86681.38,87271.04,6426,1800,0
2025-12-29 13:00:00,87269.36,87420.77,87042.52,87280.69,2852,1800,0
2025-12-29 14:00:00,87280.67,88088.73,87139.93,87331.59,7287,1800,0
2025-12-29 15:00:00,87332.73,87817.06,87091.78,87584.51,5775,1800,0
2025-12-29 16:00:00,87582.67,87753.06,87339.19,87517.84,3828,1800,0
2025-12-29 17:00:00,87533.27,87761.77,87235.35,87746.01,3068,1800,0
2025-12-29 18:00:00,87746.54,87908.32,87248.59,87358.25,2945,1800,0
2025-12-29 19:00:00,87360.13,87571.38,87194.59,87251.02,2464,1800,0
2025-12-29 20:00:00,87249.33,87488.96,86965.57,87094.54,2822,1800,0
2025-12-29 21:00:00,87092.12,87264.02,87061.83,87221.77,1536,1800,0
2025-12-29 22:00:00,87221.72,87294.26,86952.37,87243.25,1649,1800,0
2025-12-29 23:00:00,87236.65,87298.66,87057.1,87107.53,1506,1800,0
2025-12-30 00:00:00,87107.65,87249.17,86987.73,87139.55,1911,1800,0
2025-12-30 01:00:00,87139.46,87240.57,86988.62,87198.97,1767,1800,0
2025-12-30 02:00:00,87202.18,87230.28,86850.97,86982.6,2675,1800,0
2025-12-30 03:00:00,86986.76,87321.23,86709.73,87253.47,2874,1800,0
2025-12-30 04:00:00,87253.38,87385.86,87170.19,87195.6,1856,1800,0
2025-12-30 05:00:00,87193.73,87257.39,87028.34,87142.47,1608,1800,0
2025-12-30 06:00:00,87134.29,87415.8,87116.56,87332.58,1627,1800,0
2025-12-30 07:00:00,87335.55,87510.33,87244.41,87377.62,1642,1800,0
2025-12-30 08:00:00,87375.32,88114.8,87370.75,87744.44,4092,1800,0
2025-12-30 09:00:00,87742.39,87918.17,87523.79,87880.31,2337,1800,0
2025-12-30 10:00:00,87873.27,88078.44,87776.41,87836.49,2275,1800,0
2025-12-30 11:00:00,87836.84,87925.44,87634.88,87793.25,1958,1800,0
2025-12-30 12:00:00,87796.07,87981.68,87787.49,87907.02,1828,1800,0
2025-12-30 13:00:00,87911.87,88032.12,87788.14,87985.64,2245,1800,0
2025-12-30 14:00:00,87985.71,88904.7,87706.66,88757.62,7243,1800,0
